index	name	kind
278	CustomerMarketingOptInLevel	ENUM
279	CollectionRuleConditions	OBJECT
280	DraftOrder	OBJECT
281	DraftOrderAppliedDiscount	OBJECT
282	DraftOrderAppliedDiscountType	ENUM
283	DraftOrderLineItemConnection	OBJECT
284	DraftOrderLineItemEdge	OBJECT
285	DraftOrderLineItem	OBJECT
286	DraftOrderStatus	ENUM
287	PriceRule	OBJECT
288	PriceRuleValidityPeriod	OBJECT
289	PriceRuleCustomerSelection	OBJECT
290	SavedSearch	OBJECT
291	SearchResultType	ENUM
292	SearchFilter	OBJECT
293	CustomerConnection	OBJECT
294	CustomerEdge	OBJECT
295	CustomerSortKeys	ENUM
296	PriceRuleDiscountCodeConnection	OBJECT
297	PriceRuleDiscountCodeEdge	OBJECT
298	PriceRuleDiscountCode	OBJECT
299	DiscountCodeSortKeys	ENUM
300	PriceRuleStatus	ENUM
301	PriceRuleAllocationMethod	ENUM
302	PriceRuleValue	UNION
303	PriceRulePercentValue	OBJECT
304	PriceRuleFixedAmountValue	OBJECT
305	PriceRuleTarget	ENUM
306	PriceRuleItemEntitlements	OBJECT
307	PriceRuleShippingLineEntitlements	OBJECT
308	PriceRuleMoneyRange	OBJECT
309	PriceRuleQuantityRange	OBJECT
310	PriceRuleLineItemPrerequisites	OBJECT
311	PriceRuleEntitlementToPrerequisiteQuantityRatio	OBJECT
312	PriceRulePrerequisiteToEntitlementQuantityRatio	OBJECT
313	PriceRuleShareableUrl	OBJECT
314	PriceRuleShareableUrlTargetType	ENUM
315	PriceRuleTrait	ENUM
316	PriceRuleFeature	ENUM
317	MarketingActivityConnection	OBJECT
318	MarketingActivityEdge	OBJECT
319	MarketingActivity	OBJECT
320	MarketingActivityStatus	ENUM
321	MarketingBudget	OBJECT
322	MarketingBudgetBudgetType	ENUM
323	MarketingPlatform	ENUM
324	MarketingActivityExtensionAppErrors	OBJECT
325	MarketingActivityExtensionAppErrorCode	ENUM
326	MarketingActivitySortKeys	ENUM
327	MarketingEventConnection	OBJECT
328	MarketingEventEdge	OBJECT
329	MarketingEventSortKeys	ENUM
330	LiquidHTML	SCALAR
331	ScriptTag	OBJECT
332	ScriptTagDisplayScope	ENUM
333	Domain	OBJECT
334	Shop	OBJECT
335	ShopAlert	OBJECT
336	ShopAlertAction	OBJECT
337	ResourceLimit	OBJECT
338	OnlineStoreBlogEdge	OBJECT
339	OnlineStoreBlog	OBJECT
340	OnlineStoreArticleEdge	OBJECT
341	OnlineStoreArticle	OBJECT
342	SavedSearchConnection	OBJECT
343	SavedSearchEdge	OBJECT
344	StringConnection	OBJECT
345	StringEdge	OBJECT
346	OnlineStoreArticleTagSort	ENUM
347	OnlineStorePageEdge	OBJECT
348	OnlineStorePage	OBJECT
349	ShopFeatures	OBJECT
350	ShopBranding	ENUM
351	ShopPlan	OBJECT
352	CurrencySettingConnection	OBJECT
353	CurrencySettingEdge	OBJECT
354	ShopCustomerAccountsSetting	ENUM
355	UnitSystem	ENUM
356	CurrencyFormats	OBJECT
357	ShopTagSort	ENUM
358	ProductSortKeys	ENUM
359	PriceRuleConnection	OBJECT
360	PriceRuleEdge	OBJECT
361	PriceRuleSortKeys	ENUM
362	InventoryItemConnection	OBJECT
363	InventoryItemEdge	OBJECT
364	DraftOrderConnection	OBJECT
365	DraftOrderEdge	OBJECT
366	DraftOrderSortKeys	ENUM
367	StorefrontAccessTokenConnection	OBJECT
368	StorefrontAccessTokenEdge	OBJECT
369	StorefrontAccessToken	OBJECT
370	CustomerSavedSearchSortKeys	ENUM
